file,year,subject,problem,risk_type,dependency,recommended_action
latex-project/content/split_algebra/algebra_2011.tex,2011,algebra,11,THEOREM_DEP,Sylow,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2011.tex,2011,algebra,12,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2012.tex,2012,algebra,1,THEOREM_DEP,Eisenstein,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2012.tex,2012,algebra,2,THEOREM_DEP,Sylow,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2012.tex,2012,algebra,3,THEOREM_DEP,representation theory,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2012.tex,2012,algebra,4,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2012.tex,2012,algebra,5,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2012.tex,2012,algebra,6,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2012.tex,2012,algebra,7,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2012.tex,2012,algebra,8,THEOREM_DEP,Sylow,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2012.tex,2012,algebra,9,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2012.tex,2012,algebra,10,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2012.tex,2012,algebra,11,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2012.tex,2012,algebra,12,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2013.tex,2013,algebra,1,THEOREM_DEP+SOURCE_ALIGN_RISK,Sylow,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2013.tex,2013,algebra,2,SOURCE_ALIGN_RISK,,Verify against individual/team/year source PDF; do not rewrite if OCR/source is uncertain.
latex-project/content/split_algebra/algebra_2013.tex,2013,algebra,3,SOURCE_ALIGN_RISK,,Verify against individual/team/year source PDF; do not rewrite if OCR/source is uncertain.
latex-project/content/split_algebra/algebra_2013.tex,2013,algebra,4,THEOREM_DEP+SOURCE_ALIGN_RISK,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2013.tex,2013,algebra,5,SOURCE_ALIGN_RISK,,Verify against individual/team/year source PDF; do not rewrite if OCR/source is uncertain.
latex-project/content/split_algebra/algebra_2013.tex,2013,algebra,6,SOURCE_ALIGN_RISK,,Verify against individual/team/year source PDF; do not rewrite if OCR/source is uncertain.
latex-project/content/split_algebra/algebra_2013.tex,2013,algebra,7,SOURCE_ALIGN_RISK,,Verify against individual/team/year source PDF; do not rewrite if OCR/source is uncertain.
latex-project/content/split_algebra/algebra_2013.tex,2013,algebra,8,THEOREM_DEP+SOURCE_ALIGN_RISK,Galois,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2014.tex,2014,algebra,1,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2014.tex,2014,algebra,2,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2014.tex,2014,algebra,3,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2014.tex,2014,algebra,4,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2014.tex,2014,algebra,5,THEOREM_DEP+SOURCE_ALIGN_RISK,individual,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2014.tex,2014,algebra,6,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2014.tex,2014,algebra,7,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2014.tex,2014,algebra,8,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2014.tex,2014,algebra,9,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2014.tex,2014,algebra,10,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2014.tex,2014,algebra,11,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2014.tex,2014,algebra,12,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2015.tex,2015,algebra,1,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2015.tex,2015,algebra,2,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2015.tex,2015,algebra,3,THEOREM_DEP,"Frobenius, Galois",Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2015.tex,2015,algebra,4,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2015.tex,2015,algebra,5,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2015.tex,2015,algebra,6,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2015.tex,2015,algebra,7,THEOREM_DEP,Sylow,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2015.tex,2015,algebra,8,THEOREM_DEP,Galois,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2015.tex,2015,algebra,9,THEOREM_DEP,representation theory,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2015.tex,2015,algebra,10,THEOREM_DEP,spectral theorem,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2015.tex,2015,algebra,11,THEOREM_DEP,"Eisenstein, Galois, Sylow",Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2016.tex,2016,algebra,1,STATEMENT_RISK+THEOREM_DEP+SOURCE_ALIGN_RISK,"counterexample, does not hold",Keep original statement; add counterexample/missing-hypothesis note and prove corrected intended version.
latex-project/content/split_algebra/algebra_2016.tex,2016,algebra,2,THEOREM_DEP+SOURCE_ALIGN_RISK,structure theorem,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2016.tex,2016,algebra,3,THEOREM_DEP+SOURCE_ALIGN_RISK,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2016.tex,2016,algebra,4,THEOREM_DEP+SOURCE_ALIGN_RISK,individual,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2016.tex,2016,algebra,5,THEOREM_DEP+SOURCE_ALIGN_RISK,Sylow,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2016.tex,2016,algebra,6,SOURCE_ALIGN_RISK,,Verify against individual/team/year source PDF; do not rewrite if OCR/source is uncertain.
latex-project/content/split_algebra/algebra_2016.tex,2016,algebra,7,THEOREM_DEP+SOURCE_ALIGN_RISK,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2016.tex,2016,algebra,8,THEOREM_DEP+SOURCE_ALIGN_RISK,Galois,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2016.tex,2016,algebra,9,THEOREM_DEP+SOURCE_ALIGN_RISK,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2016.tex,2016,algebra,10,SOURCE_ALIGN_RISK,,Verify against individual/team/year source PDF; do not rewrite if OCR/source is uncertain.
latex-project/content/split_algebra/algebra_2017.tex,2017,algebra,1,THEOREM_DEP+SOURCE_ALIGN_RISK,individual,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2017.tex,2017,algebra,2,THEOREM_DEP+SOURCE_ALIGN_RISK,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2017.tex,2017,algebra,3,THEOREM_DEP+SOURCE_ALIGN_RISK,Galois,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2017.tex,2017,algebra,4,SOURCE_ALIGN_RISK,,Verify against individual/team/year source PDF; do not rewrite if OCR/source is uncertain.
latex-project/content/split_algebra/algebra_2017.tex,2017,algebra,5,THEOREM_DEP+SOURCE_ALIGN_RISK,Frobenius,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2017.tex,2017,algebra,6,THEOREM_DEP+SOURCE_ALIGN_RISK,source,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2017.tex,2017,algebra,7,THEOREM_DEP+SOURCE_ALIGN_RISK,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2017.tex,2017,algebra,8,SOURCE_ALIGN_RISK,,Verify against individual/team/year source PDF; do not rewrite if OCR/source is uncertain.
latex-project/content/split_algebra/algebra_2017.tex,2017,algebra,9,THEOREM_DEP+SOURCE_ALIGN_RISK,"Eisenstein, Galois",Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2017.tex,2017,algebra,10,THEOREM_DEP+SOURCE_ALIGN_RISK,Frobenius,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2018.tex,2018,algebra,1,THEOREM_DEP+SOURCE_ALIGN_RISK,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2018.tex,2018,algebra,2,THEOREM_DEP+SOURCE_ALIGN_RISK,"Eisenstein, Galois",Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2018.tex,2018,algebra,3,THEOREM_DEP+SOURCE_ALIGN_RISK,Sylow,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2018.tex,2018,algebra,4,SOURCE_ALIGN_RISK,,Verify against individual/team/year source PDF; do not rewrite if OCR/source is uncertain.
latex-project/content/split_algebra/algebra_2018.tex,2018,algebra,5,SOURCE_ALIGN_RISK,,Verify against individual/team/year source PDF; do not rewrite if OCR/source is uncertain.
latex-project/content/split_algebra/algebra_2018.tex,2018,algebra,6,THEOREM_DEP+SOURCE_ALIGN_RISK,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2018.tex,2018,algebra,7,THEOREM_DEP+SOURCE_ALIGN_RISK,Kummer,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2018.tex,2018,algebra,8,THEOREM_DEP+SOURCE_ALIGN_RISK,Frobenius,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2018.tex,2018,algebra,9,THEOREM_DEP+SOURCE_ALIGN_RISK,Galois,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2018.tex,2018,algebra,10,SOURCE_ALIGN_RISK,,Verify against individual/team/year source PDF; do not rewrite if OCR/source is uncertain.
latex-project/content/split_algebra/algebra_2019.tex,2019,algebra,1,THEOREM_DEP,representation theory,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2019.tex,2019,algebra,2,THEOREM_DEP,Galois,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2019.tex,2019,algebra,3,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2019.tex,2019,algebra,4,THEOREM_DEP,Jordan normal form,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2019.tex,2019,algebra,5,THEOREM_DEP,Frobenius,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2019.tex,2019,algebra,6,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2019.tex,2019,algebra,7,THEOREM_DEP,representation theory,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2019.tex,2019,algebra,8,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2019.tex,2019,algebra,9,THEOREM_DEP,Galois,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2019.tex,2019,algebra,10,THEOREM_DEP,Galois,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2020.tex,2020,algebra,1,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2020.tex,2020,algebra,2,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2020.tex,2020,algebra,3,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2020.tex,2020,algebra,4,THEOREM_DEP,Eisenstein,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2020.tex,2020,algebra,5,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2020.tex,2020,algebra,6,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2021.tex,2021,algebra,1,THEOREM_DEP,"Frobenius, Galois",Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2021.tex,2021,algebra,2,THEOREM_DEP,Galois,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2021.tex,2021,algebra,3,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2021.tex,2021,algebra,4,STATEMENT_RISK+THEOREM_DEP,"Galois, false",Keep original statement; add counterexample/missing-hypothesis note and prove corrected intended version.
latex-project/content/split_algebra/algebra_2021.tex,2021,algebra,5,THEOREM_DEP+SOURCE_ALIGN_RISK,individual,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2021.tex,2021,algebra,6,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2022.tex,2022,algebra,1,THEOREM_DEP+SOURCE_ALIGN_RISK,individual,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2022.tex,2022,algebra,2,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2022.tex,2022,algebra,3,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2022.tex,2022,algebra,4,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2022.tex,2022,algebra,5,THEOREM_DEP,Eisenstein,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2022.tex,2022,algebra,6,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2023.tex,2023,algebra,1,THEOREM_DEP+SOURCE_ALIGN_RISK,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2023.tex,2023,algebra,2,SOURCE_ALIGN_RISK,,Verify against individual/team/year source PDF; do not rewrite if OCR/source is uncertain.
latex-project/content/split_algebra/algebra_2023.tex,2023,algebra,3,THEOREM_DEP+SOURCE_ALIGN_RISK,Galois,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2023.tex,2023,algebra,4,THEOREM_DEP+SOURCE_ALIGN_RISK,commutative algebra,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2023.tex,2023,algebra,5,THEOREM_DEP+SOURCE_ALIGN_RISK,Jordan normal form,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2023.tex,2023,algebra,6,SOURCE_ALIGN_RISK,,Verify against individual/team/year source PDF; do not rewrite if OCR/source is uncertain.
latex-project/content/split_algebra/algebra_2024.tex,2024,algebra,1,THEOREM_DEP,structure theorem,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2024.tex,2024,algebra,2,THEOREM_DEP,"Smith, Smith Normal Form",Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2024.tex,2024,algebra,3,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2024.tex,2024,algebra,4,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2024.tex,2024,algebra,5,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2024.tex,2024,algebra,6,THEOREM_DEP,Frobenius,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2025.tex,2025,algebra,1,THEOREM_DEP,"Galois, Kummer",Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2025.tex,2025,algebra,2,THEOREM_DEP,"Frobenius, representation theory",Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2025.tex,2025,algebra,3,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2025.tex,2025,algebra,4,THEOREM_DEP,Galois,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2025.tex,2025,algebra,5,THEOREM_DEP,Galois,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2026.tex,2026,algebra,1,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2026.tex,2026,algebra,2,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2026.tex,2026,algebra,3,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2026.tex,2026,algebra,4,THEOREM_DEP,Eisenstein,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2026.tex,2026,algebra,5,THEOREM_DEP,"Eisenstein, Galois, Kummer",Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2010.tex,2010,analysis,1,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2010.tex,2010,analysis,2,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_analysis/analysis_2010.tex,2010,analysis,3,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_analysis/analysis_2010.tex,2010,analysis,4,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_analysis/analysis_2010.tex,2010,analysis,5,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_analysis/analysis_2010.tex,2010,analysis,6,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_analysis/analysis_2010.tex,2010,analysis,7,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2010.tex,2010,analysis,8,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_analysis/analysis_2010.tex,2010,analysis,9,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2010.tex,2010,analysis,10,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_analysis/analysis_2010.tex,2010,analysis,11,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2010.tex,2010,analysis,12,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2011.tex,2011,analysis,1,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2011.tex,2011,analysis,2,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_analysis/analysis_2011.tex,2011,analysis,3,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_analysis/analysis_2011.tex,2011,analysis,4,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2011.tex,2011,analysis,5,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2011.tex,2011,analysis,6,THEOREM_DEP+SOURCE_ALIGN_RISK,individual,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2011.tex,2011,analysis,7,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2011.tex,2011,analysis,8,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_analysis/analysis_2011.tex,2011,analysis,9,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_analysis/analysis_2011.tex,2011,analysis,10,THEOREM_DEP,Borel-Cantelli,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2011.tex,2011,analysis,11,STATEMENT_RISK+THEOREM_DEP,counterexample,Keep original statement; add counterexample/missing-hypothesis note and prove corrected intended version.
latex-project/content/split_analysis/analysis_2011.tex,2011,analysis,12,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2012.tex,2012,analysis,1,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2012.tex,2012,analysis,2,THEOREM_DEP,pinch,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2012.tex,2012,analysis,3,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_analysis/analysis_2012.tex,2012,analysis,4,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2012.tex,2012,analysis,5,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_analysis/analysis_2012.tex,2012,analysis,6,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2012.tex,2012,analysis,7,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_analysis/analysis_2012.tex,2012,analysis,8,THEOREM_DEP,Riemann Mapping,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2012.tex,2012,analysis,9,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_analysis/analysis_2012.tex,2012,analysis,10,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2012.tex,2012,analysis,11,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_analysis/analysis_2012.tex,2012,analysis,12,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_analysis/analysis_2013.tex,2013,analysis,1,THEOREM_DEP+SOURCE_ALIGN_RISK,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
